"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NPENSION","WOMEN","PC_PRERETEARN","A","2014",53.4,
"AUS","NPENSION","WOMEN","PC_PRERETEARN","A","2016",38.8,
"AUT","NPENSION","WOMEN","PC_PRERETEARN","A","2014",91.6,
"AUT","NPENSION","WOMEN","PC_PRERETEARN","A","2016",91.8,
"BEL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.9,
"BEL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",66.1,
"CAN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",47.9,
"CAN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",53.4,
"CZE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",63.8,
"CZE","NPENSION","WOMEN","PC_PRERETEARN","A","2016",60,
"DNK","NPENSION","WOMEN","PC_PRERETEARN","A","2014",66.4,
"DNK","NPENSION","WOMEN","PC_PRERETEARN","A","2016",80.2,
"FIN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",63.5,
"FIN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",65,
"FRA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",67.7,
"FRA","NPENSION","WOMEN","PC_PRERETEARN","A","2016",74.5,
"DEU","NPENSION","WOMEN","PC_PRERETEARN","A","2014",50,
"DEU","NPENSION","WOMEN","PC_PRERETEARN","A","2016",50.5,
"GRC","NPENSION","WOMEN","PC_PRERETEARN","A","2014",72.9,
"GRC","NPENSION","WOMEN","PC_PRERETEARN","A","2016",53.7,
"HUN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.6,
"HUN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",89.6,
"ISL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",76.7,
"ISL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",75.7,
"IRL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",42.2,
"IRL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",42.3,
"ITA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",79.7,
"ITA","NPENSION","WOMEN","PC_PRERETEARN","A","2016",93.2,
"JPN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",40.4,
"JPN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",40,
"KOR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",45,
"KOR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",45.1,
"LUX","NPENSION","WOMEN","PC_PRERETEARN","A","2014",88.6,
"LUX","NPENSION","WOMEN","PC_PRERETEARN","A","2016",88.4,
"MEX","NPENSION","WOMEN","PC_PRERETEARN","A","2014",26.2,
"MEX","NPENSION","WOMEN","PC_PRERETEARN","A","2016",27.7,
"NLD","NPENSION","WOMEN","PC_PRERETEARN","A","2014",95.7,
"NLD","NPENSION","WOMEN","PC_PRERETEARN","A","2016",100.6,
"NZL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",43,
"NZL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",43.2,
"NOR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.2,
"NOR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",48.8,
"POL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",52.8,
"POL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",34.1,
"PRT","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.5,
"PRT","NPENSION","WOMEN","PC_PRERETEARN","A","2016",94.9,
"SVK","NPENSION","WOMEN","PC_PRERETEARN","A","2014",80.6,
"SVK","NPENSION","WOMEN","PC_PRERETEARN","A","2016",83.8,
"ESP","NPENSION","WOMEN","PC_PRERETEARN","A","2014",89.5,
"ESP","NPENSION","WOMEN","PC_PRERETEARN","A","2016",81.8,
"SWE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",55.8,
"SWE","NPENSION","WOMEN","PC_PRERETEARN","A","2016",54.9,
"CHE","NPENSION","WOMEN","PC_PRERETEARN","A","2014",46.5,
"CHE","NPENSION","WOMEN","PC_PRERETEARN","A","2016",44.5,
"TUR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",104.8,
"TUR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",97.9,
"GBR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",28.5,
"GBR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",29,
"USA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",44.8,
"USA","NPENSION","WOMEN","PC_PRERETEARN","A","2016",49.1,
"BGR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",87.5,
"CHL","NPENSION","WOMEN","PC_PRERETEARN","A","2014",33.1,
"CHL","NPENSION","WOMEN","PC_PRERETEARN","A","2016",36.3,
"CYP","NPENSION","WOMEN","PC_PRERETEARN","A","2016",82.6,
"EST","NPENSION","WOMEN","PC_PRERETEARN","A","2014",59.8,
"EST","NPENSION","WOMEN","PC_PRERETEARN","A","2016",57.4,
"ISR","NPENSION","WOMEN","PC_PRERETEARN","A","2014",61.9,
"ISR","NPENSION","WOMEN","PC_PRERETEARN","A","2016",67.4,
"LVA","NPENSION","WOMEN","PC_PRERETEARN","A","2016",59.5,
"LTU","NPENSION","WOMEN","PC_PRERETEARN","A","2016",71.2,
"MLT","NPENSION","WOMEN","PC_PRERETEARN","A","2016",41.9,
"ROU","NPENSION","WOMEN","PC_PRERETEARN","A","2016",49.3,
"SVN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",60.4,
"SVN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",59.2,
"ARG","NPENSION","WOMEN","PC_PRERETEARN","A","2014",87.3,
"ARG","NPENSION","WOMEN","PC_PRERETEARN","A","2016",83.1,
"BRA","NPENSION","WOMEN","PC_PRERETEARN","A","2014",58.1,
"BRA","NPENSION","WOMEN","PC_PRERETEARN","A","2016",58.1,
"CHN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",75,
"CHN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",71.3,
"IND","NPENSION","WOMEN","PC_PRERETEARN","A","2014",103.8,
"IND","NPENSION","WOMEN","PC_PRERETEARN","A","2016",94.4,
"IDN","NPENSION","WOMEN","PC_PRERETEARN","A","2014",12.5,
"IDN","NPENSION","WOMEN","PC_PRERETEARN","A","2016",60.9,
"RUS","NPENSION","WOMEN","PC_PRERETEARN","A","2014",73.7,
"RUS","NPENSION","WOMEN","PC_PRERETEARN","A","2016",32.9,
"SAU","NPENSION","WOMEN","PC_PRERETEARN","A","2014",65.4,
"SAU","NPENSION","WOMEN","PC_PRERETEARN","A","2016",65.4,
"ZAF","NPENSION","WOMEN","PC_PRERETEARN","A","2014",11.8,
"ZAF","NPENSION","WOMEN","PC_PRERETEARN","A","2016",17.1,
"OAVG","NPENSION","WOMEN","PC_PRERETEARN","A","2014",62.7,
"OAVG","NPENSION","WOMEN","PC_PRERETEARN","A","2016",62.2,
"EU28","NPENSION","WOMEN","PC_PRERETEARN","A","2014",70.7,
"EU28","NPENSION","WOMEN","PC_PRERETEARN","A","2016",70.4,
"HRV","NPENSION","WOMEN","PC_PRERETEARN","A","2016",129.2,
